siren;trancheEffectifsEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte
722045879;41.0;2017.0;500 à 999 salariés
722045879;41.0;2017.0;500 à 999 salariés
722055738;41.0;2017.0;500 à 999 salariés
722057460;41.0;2017.0;500 à 999 salariés
722057460;41.0;2017.0;500 à 999 salariés
722057460;41.0;2017.0;500 à 999 salariés
722057460;52.0;2017.0;5 000 à 9 999 salariés
722057460;41.0;2017.0;500 à 999 salariés
722065638;41.0;2017.0;500 à 999 salariés
723000642;41.0;2017.0;500 à 999 salariés
723001467;41.0;2017.0;500 à 999 salariés
732020805;41.0;2017.0;500 à 999 salariés
732075312;51.0;2017.0;2 000 à 4 999 salariés
732980479;41.0;2017.0;500 à 999 salariés
738205269;41.0;2017.0;500 à 999 salariés
745851303;42.0;2017.0;1 000 à 1 999 salariés
747252120;41.0;2017.0;500 à 999 salariés
750475360;41.0;2017.0;500 à 999 salariés
750775660;41.0;2017.0;500 à 999 salariés
752610147;41.0;2017.0;500 à 999 salariés
753108950;42.0;2017.0;1 000 à 1 999 salariés
753108950;42.0;2017.0;1 000 à 1 999 salariés
753188333;41.0;2017.0;500 à 999 salariés
753201268;41.0;2017.0;500 à 999 salariés
755501590;41.0;2017.0;500 à 999 salariés
755802105;41.0;2017.0;500 à 999 salariés
758501001;42.0;2017.0;1 000 à 1 999 salariés
760800060;41.0;2017.0;500 à 999 salariés
767800121;41.0;2017.0;500 à 999 salariés
775348501;41.0;2017.0;500 à 999 salariés
775424914;41.0;2017.0;500 à 999 salariés
775544562;41.0;2017.0;500 à 999 salariés
775552003;41.0;2017.0;500 à 999 salariés
775552151;41.0;2017.0;500 à 999 salariés
775558364;41.0;2017.0;500 à 999 salariés
775558489;42.0;2017.0;1 000 à 1 999 salariés
775559115;42.0;2017.0;1 000 à 1 999 salariés
775567761;41.0;2017.0;500 à 999 salariés
775569726;41.0;2017.0;500 à 999 salariés
775569726;41.0;2017.0;500 à 999 salariés
775577018;41.0;2017.0;500 à 999 salariés
775577018;42.0;2017.0;1 000 à 1 999 salariés
775577018;41.0;2017.0;500 à 999 salariés
775577018;41.0;2017.0;500 à 999 salariés
775577018;41.0;2017.0;500 à 999 salariés
